"","song_id","title","release","artist_name","year"
"181698","SOQDBXH12AB0186DFB","Money On My Mind (feat. JB)","[Screwed] Keep On Stackin 5","Killa Kyleon_ Lil Boss_ Lil C_ & OG Avery",0
"119907","SOSFFJW12AAF3B2F74","Pompadour","Pompadour","Chelonis R. Jones",2009
"85779","SOLPCXG12AC46870CD","Ma Beats (Chris Costanzo Remix)","Asseteria: Live From Uranus","DJ Dextro",0
"81165","SOPOVAK12AB017DA83","Ballistic Affair","Food4DaBrain - Second Serving","Skinny Man / Deadly Hunta",0
"11285","SONYBQE12A8C135F2F","The Bed","Here For The Party","Gretchen Wilson",2004
"14619","SOOSDHO12AB018B012","Tell Me Why","Ol Blue Balls Is Back","Red Peters",0
"11145","SOITEZL12AC3DF9284","Street Dreams 4 (Album Version)","Street Dreams","Lyle Mays",1988
"135857","SOLWMFI12AB0188207","Song","Dixie","Avail",1994
"195711","SOSUAKE12AB0182C9A","Big Bad Barbie Doll","Twelve","Berkley Hart",0
"177386","SOTOTHD12AC960D8BF","La Dame Au Chapeau Vert","Adèle Blanc-Sec B.O.F","Eric Serra",0
"50672","SOFVDKY12A8C13E443","Tick Of The Clock","Night Drive","Chromatics",2007
"177948","SOZFQQP12AB0186476","Hey Ho Armageddon!","Paint It Red","Bloody Dead And Sexy",2003
"194110","SOOIHWC12A8AE48D94","Isis (Album Version)","Moving Cities","Faze Action",1999
"86532","SODVTIJ12A58A7C69E","I'll Be With You (LP Version)","The Best Is Yet To Come","Grover Washington Jr.",1982
"155411","SONWJAQ12A8C132E27","Second Thoughts","Earthquake Shake","The Skunks",0
"37943","SOUFLQH12A6D4F5EF6","Mama África","Benjor - Remasterizado","Jorge Ben Jor",0
"22939","SOAYGHF12AB017BED7","It Makes No Difference Now","Country Masters Vol 2","Burl Ives",2000
"22651","SOHPOPC12A8C13650B","Just Like You","Diary Of An American Witchdoctor","Witchdoctor",2007
"1430","SOWAWKK12A8C134594","Disfraz","Nadha (US Version)","Kudai",0
"82389","SOLSDQF12AB0185DAE","Summerdata","Does It Look Like I'm Here?","Emeralds",0
"176234","SOCGFNP12A58A7DC87","Conozco A Los Dos","Grandes Exitos A La Manera De Alejandro Fernandez","Alejandro Fernandez",1994
"179902","SOIXUUA12A6D4FBD6A","Dues","Nashville","Ronee Blakley",1972
"174761","SOVPDLT12AB018213E","Das Unterpfand","First War Of The World","Black Messiah",2009
"174394","SOZWHMD12AAA15D1B2","Come Out","Songs For Lovers","David Rose",0
"88933","SOPZTVZ12AB018A441","I Love the College Girls","Roots_ Volume 1 the 1920's & 1930's","Harry Reser",0
"65332","SOPOTVC12AB017BF24","Nothing But a Fool","Special Road","Fenton Robinson",0
"23466","SOTBKFZ12AB0189139","Noche","Sangre Nueva","STL",0
"121978","SOIBJVI12A58A7EC52","Mr. Moneyman","Call Mi Sister Carol","Sister Carol",0
"175587","SONZJCJ12AB0189F07","We Roll","Illegal Substance","Illegal Substance",0
"127285","SOTCNDW12A8C13A365","Thank God I'm An Athiest","Crash Rickshaw","Crash Rickshaw",2001
"71240","SOWPQCL12A58A78259","White Christmas","December","Kenny Loggins",1998
"104001","SOUMVOP12AC468CE53","The Wandering Drummer","Far Away_ Down On A Georgia Farm","Norman Blake",1999
"126616","SOAGTRJ12A8C134D3B","No One Together","The Ultimate Kansas","Kansas",1980
"105323","SOAVJRI12A6701D93A","Shock And Terror","Infiltrate.Destory.Rebuild","CKY",0
"78560","SOYLVMD12A8151ABEB","Just An Excuse (Demo)","2X4","Guadalcanal Diary",1987
"158360","SOCWGFO12A58A80C48","The Anti-Christ","Dub 911","Scientist",2006
"114632","SOBNYAV12A6D4F6D08","Simple As That","Fore!","Huey Lewis And The News",1986
"60441","SOOXFJJ12A8C132C4E","Para Entender","Tipitorex","Los Tipitos",2004
"103828","SOGGHDH12A8C139D04","Life On The Run (Album Version)","The Stories Are True","Time Again",2006
"84728","SOYIYXD12AB017D446","Sweet Little Papa","Golden Collection_ Vol. 1","Louis Armstrong",2003
"139598","SOUNLRD12A58A7BE86","Idle Idylist","Laurel St. Demo 2005","Tim Barry",2005
"5268","SODWOZY12A58A804D1","Vamonos","Vamonos","Agua Loca",0
"80275","SOHDVQM12AC3DF5AFD","New Amsterdam","New Amsterdam","Zola Jesus",2009
"171002","SORKVJY12A8C13CDC7","L*O*V*E","The Winning Score","Frigg A-Go-Go",0
"133829","SOSPQIP12AB0186964","Notfalls Werde Ich Für Immer Warten","Notfalls Werde Ich Für Immer Warten","Karpatenhund",2009
"119559","SOZTXQT12A8C13722B","Joanna  (Watashi Wa Album Version)","The Love of Life","Watashi Wa",2003
"115384","SOAMZZW12AB0186B4E","In need of care (different mix)","Strange behaviour EP","Orpheus in red velvet",0
"152226","SOJWMLI12A6D4F7CBC","Walking Away A Winner","Country Ladies","Kathy Mattea",1995
"90238","SODAGEC12AB018D14C","Listen_ Listen","A.M. Gold","Zero Zero",0
"42512","SOMMZWU12A8C13AE8F","Heatseekers","Last Wave Rockers","Common Rider",1999
"166419","SOCTVAK12AB0186197","Noche Pintada (Painted Night)","Arriba","Bruce BecVar",1993
"123941","SODLNXJ12A6310EE79","Ride The Ride","Doll Revolution","The Bangles",2003
"29343","SOILZFF12AB018564A","Return","Bad Grand Dad","Ninjaman (feat. Ninja Ford)",0
"107581","SOMEEGN12AB018529A","Carte Blanche","Ibiza","Veracocha",1999
"179581","SOOCBRM12AB018B811","Rök Utan Eld (prod. Dj Large)","Om Gud Vill Och Vädret Tillåter","Organismen",2009
"74405","SOUYYFF12A8C141DA5","Dead End","22 Random Acts of Violence","Phobia",0
"174578","SOKSKKG12A8C139FA7","Chi mo fei hsing","Rememberance","Mei Chi Chiang",0
"68135","SOVFLRC12A8C1341D0","Piano Concerto No. 3 in D minor Op. 30 (2006 Digital Remaster): II.   Intermezzo (Adagio)","Rachmaninov_ Piano Concerto No.3/ Saint-Saëns_ Piano Concerto No.2","Emil Gilels/André Cluytens/Orchestre de la Société des Concerts du Conservatoire",0
"154422","SOKTNHW12A8C13258B","From The Lonely Afternoons","Native Dancer","Wayne Shorter",1975
"23294","SOCADNX12A8C140315","Foggy Mountain Top_ She'll Be Comin' Round The Mountain","Live In Chicago","Hasil Adkins",0
"37509","SOOIPJG12AB017B9E4","Partis de Rien","Noyau Dur","Noyau Dur",2005
"157778","SOSAMAV12AB0182600","The Chapel","Remains","Rubik",0
"31625","SOCPLWG12A67020864","Nearest Distant Shore","Hearts In Armor","Trisha Yearwood",1992
"129811","SOGAJIN12A6D4FBB60","Washed By The Water (Album Version)","The Heat","NEEDTOBREATHE",2007
"149430","SOKDKOB12AB0188630","Felching Vampires","The Bowels Of Repugnance","Broken Hope",1993
"80421","SONLZFP12A6D4F87A6","Legrand : ""Ask yourself why","Legrand : Magic","Kiri Te Kanawa",0
"169010","SOJASDD12A6D4FB115","Snakes Of Christ","thrall-demonsweatlive","Danzig",1990
"152038","SOWNPDY12A58A7BC29","Alarmstufe Rot","Alarmstufe Rot","Agonoize",2009
"142447","SOAUCPC12A58A76EB1","Te Reto","Exitos y Más","Tito Rojas",2007
"111140","SORBSMN12A8C13F534","Forced Values","Let's Get Pissed - It's Christmas","Crude SS",0
"185743","SOMTHPY12A8C142E57","Alright","I'll Be Anything","Shayna Steele",2009
"56643","SOFTFUU12A8C134A3E","Fly Around The Candle","The Slip Away Sessions","Frank Morgan & T. Bone Wolk",0
"47993","SOHKRKP12AC3DF820F","Roll the dice","The Ghost that Broke in Half","Boy Omega",0
"90478","SOBPYRC12A8C13E8A8","Pirates","Nod to the Old School","Armored Saint",2001
"134466","SOAKANG12A8AE48029","Lalala Girl","Lalala Girl","Paffendorf",2006
"27104","SOFCJHC12AB0186CB2","Just a Feeling","Bad Manners","Bad Manners",1980
"138186","SOZHEGX12AB0181156","Satellite","Armada The Best Of_ Vol. 1","OceanLab",2004
"61644","SOSHHFZ12AC3DF4773","Ten Years From Now","Nothin' But Sausage","Ken Yokoyama",0
"10399","SONFVBT12A8AE48B18","Everyday_ Rock 'N' Roll Is Saving My Life","Everyday_ Rock 'N' Roll Is Saving My Life","Toshack Highway",0
"179428","SOQDMDE12A8C13B84F","Choratta","Samambaia","Cesar Camargo Mariano/Helio Delmiro",0
"103638","SOCPQNB12AB018449C","I'm A Guitar King","Hot Guitars  American Guitar Tracks from the 1920s-1950s","Tommy McClennan",0
"190703","SOSPDOY12AC46894AC","U Can't Hide From Your Dub","AOL Music DJ Sessions Mixed by Armand Van Helden","DJ Sneak",0
"126897","SOFLBUQ12AB0180F26","Everybody Party All Night","Everything's Tuesday - The Best Of","Chairmen Of The Board",1974
"187917","SOALRMF12A8C1436A7","Soldier On","Conditions","The Temper Trap",2009
"116682","SOKUWXT12AB01840C8","Stand By Me (Album Version)","Live at Montreux 1994","Willy DeVille",2009
"195382","SOCMNTL12AC3DF99F7","Opposing Combinations","Overland Travelling","Dynarec",2006
"133780","SOZPGNN12A8C132E26","The Death Of Timmons","Dances With Wolves - Original Motion Picture Soundtrack","John Barry",1990
"168041","SODXSPX12A8AE48CC2","Golden Slumbers/Carry That Weight/The End/Here Comes The Sun/Come Together","McLemore Avenue","Booker T & The MG's",1970
"116413","SOAMLNP12A8AE46A2A","Mystery Boogie","Mr. Wonderful","Fleetwood Mac",1999
"132123","SOYRHPH12AC46861B5","Heart of Darkness","Von Humboldt Picnic","Mardi Gras.BB",2010
"183","SOGTNHX12AB0180BF0","Sold Out Of Love","Sold Out Of Love","New York Rel-X",2005
"167873","SOHTFEC12A6D4F6CDD","Ganz am Ende","Zuhause","Die Kleinen Götter",2008
"79908","SORWYND12A8C137B30","Rudolph The Red-Nosed Reindeer (Kids Christmas Party)","Kids Christmas Party","Dennis Scott",0
"192415","SORYREB12AB0182305","Beyond The Shadows","Beyond The Shadows","Lens",0
"98606","SOIFTIP12A8C1395AC","Plato's Blues","Bolero","Stanley Jordan",1994
"100604","SOCBGLY12A58A791DB","Feeling Good","Best In Me","Sam Walker",0
"57818","SOSEXSN12A8C13B75E","Dr Who? (2004)","Live At Glastonbury 1994-2004","Orbital",2007
"124235","SOGIFQT12A6D4FC1E9","odyssey into the vacuum","amaroid","Diorama",2005
"168355","SOARGWR12A6D4F8E89","Thom Ii (Album Version)","Live In Philadelphia","Voices On The Verge",2001
"109123","SOESHPI12A8C13E4FE","I'm Not The One","Real Live Thing","Kingston Wall",1992
"100840","SOXSOSM12A8C13B2B8","Waste Of Time (Album Version)","State Of Discontent","The Unseen",2005
"115328","SOHXATC12A6D4F6A7C","The Golden Rule","Alisha Rules The World","Alisha's Attic",1996
"94288","SOOHTPT12AC468D7ED","90 Degrees","A Sample And A Drum Machine","DL Incognito",2002
"57723","SOOQKHF12AC4686E59","Joy","Reflections","Alfonzo Blackwell",0
"44517","SOQEPUV12AB0185AA1","But I Do_ You Know I Do!","Ten Cents A Dance","Ruth Etting",0
"83050","SOIFEVL12A8C130D9B","Polka Dots And Moonbeams","The Tokyo Express","Rickey Woodard",0
"47577","SOHPEUA12AB0187E78","Bela Dena","Lot Lorien","Lot Lorien",2007
"8503","SOGFUNP12AB0184CD2","What A Price","'Til The Bars Burn Down","Johnny Lee",0
"67003","SODHCAD12AB0182CDB","Behind A Wall Of Silence (live in Vienna)","Bildersturm - Iconoclast II (The Visual Resistance)","Heaven Shall Burn",0
"60898","SOHARJZ12A67AD857D","This Year's Boy","Crimes Against Music","Mitch Benn and The Distractions",2005
"34419","SOVYNVS12AC3DF64AB","Rockin' Rollin' Stone","100 Greatest Rockabilly Hits","Andy Starr",2000
"43328","SOFFXRD12AB018C5CA","Ain't No Sunshine","Retro Collection_ Vol. 1","C-Bo",0
"192121","SOFHZBN12AB0181B84","White Diamonds","Friendly Fires","Friendly Fires",2008
"111053","SOLKGDA12A8C143FEE","Catfish","Detroit Blues 1950-1951","John Lee Hooker",2002
"126581","SOAGMCE12A8C135DA5","Someone To Love?","Ready Sexed Go","The Joykiller",0
"180109","SOWTEPA12A6D4F98DC","Wet Sand (Album Version)","Stadium Arcadium","Red Hot Chili Peppers",0
"14519","SOSDXGB12A8C1353EB","Carbonela (Agnes Remix)","Dumbles Debuts","Agnes",0
"193027","SOTZUSL12AB017A899","Everything","Little Bit Of Everything","Billy Currington",2008
"168191","SOSNWXK12AB0184B86","Creeky Tiki In the Deepest Jungle of Gargula","The Shape of Surf to Come","Hawaii Samurai",0
"28892","SOOECCO12AF729F5B8","Dragon Pie","Jaggernaut","Knights Of The Abyss",2006
"168055","SORVAFY12AB017C209","Give the Little Lady","Goldilocks (Original Broadway Cast)","Elaine Stritch_ Don Ameche_ Gene Varrone_ Rufus Smith",0
"6905","SOCCIRY12AB0186319","Never again 2009","Never again 2009","Stefano Prada",0
"57866","SOLAVYO12A6D4FBE85","Juokse sinä humma","Vuosikirja 1963 - 50 hittiä","The Esquires",0
"161818","SOPLSXC12A6D4FCEA5","Tabla Jugalbandi","Zakir Hussain Digital Collection 3","Zakir Hussain",0
"82488","SOOCTKD12AB017C6EF","Credere","Contagiato","Jovine",0
"160854","SOVSMZM12A8C133728","D'Bronx Tantz","The Big Kibosh","New Orleans Klezmer Allstars",0
"95865","SOYPYOT12A8AE47DEF","More Than A Feeling","World's Best Dad","Boston",1975
"80460","SOVGQPZ12A6D4FD1B1","Demon Sweat","All Request Live","Ween",1991
"164029","SOISXKC12A81C20B85","The Real Thing (Drumz)","Nite Grooves Drumz Collection Vol. 2","Frankie Feliciano",0
"98589","SOLTEJQ12AB018AF08","Absinthe And Rue","Symphony X","Symphony X",1994
"100650","SOGFNVL12A8C135432","Beware of the Dog","Desert Shores","Throw Rag",2003
"86047","SOYVNST12A8C13D1F3","Don't Make Waves","I'm In The Mood For Dancing","The Nolans",1980
"189838","SOTGQOL12A58A76130","Quartet for piano_ violin_ viola and cello: Non troppo lento","Chamber Music by Martinu-Schickele-Copland-Prokofiev","Allegra",0
"152598","SOXKRVO12A8C140C3B","Last Kiss","E=MC²","Mariah Carey",2008
"53519","SOQWZLZ12AB017F25E","Eyeball Kid","The Farrago Sessions","Michael Stanley",0
"45595","SODKCFK12AB018BF5D","Help Me","Friends / Go For It","Shalamar",1982
"84182","SOYXZXG12AB01860C9","Stand By Me","Stand By Me","A/C Project",0
"3640","SOVMYCZ12AC468F011","Tomb","Tomb / Helikopter","Komytea",0
"88858","SONAMER12AAA15D68C","Prélude","A Bizet Weekend","Orchestre de l'Opéra Bastille / Myung-Whun Chung",0
"33688","SOBCTJM12A8C139CD3","Let's Go","Let's Go","Samy Deluxe",2005
"6258","SOCVQFK12A6D4F50C1","God Bless The Child","Blue All The Way","Tina Britt",1968
"37992","SOBGIVK12AB0187ED5","Buyse Zegt","Rocky 7","'t Hof Van Commerce",2002
"37761","SOICCLI12A58A7DC16","The Thieves_ They Are Everywhere","Ghost Types","Bridges and Powerlines",0
"88865","SOWLSUQ12A8A9D5E9A","Independence","Angeldust","On Thorns I Lay",2001
"145743","SOBJMEI12A81C21487","För Dom Som Älskar","Den Sjunde Vågen","Marie Fredriksson",1986
"174737","SOHBLPK12AB0182301","Baroque (Album Version)","Rustic Technology","Grant Geissman",1993
"108801","SOMSOAZ12A6D4F867D","Blind Behaviour","Blind Behaviour","Lucien-n-Luciano",2004
"37866","SOMAZBJ12A8C13A2C5","This Is My Life","Rote Rosen - Die Musik zur Telenovela im Ersten","Joana Zimmer",2006
"129739","SONVNIU12A58A79B2C","Home Again","American Soldier","Queensryche",2009
"73023","SOPIGEV12A6310E2AD","Ray's Idea","My old Flame","Miles Davis",0
"194957","SOEDVHY12AB0181EFF","When Nature Call","Riddim Driven: White Liva","Elephant Man",0
"50584","SOWVPWO12A8C136AF7","Twilight Zone","En Route Pour La Joie","Noir Désir",1999
"98037","SOBCOYD12AC468EECC","Latter Days","I Try To Tell You","Haberdashery",0
"192348","SOLWPYK12A6D4F6EFB","Julia","Everything Is Never Quite Enough","Wasis Diop",1998
"163906","SOOPOMB12AB017BDB5","So Much In Love","Playin' It Cool","Timothy B. Schmit",1982
"115703","SOPCWUR12A6D4FA1E3","Moses Starts A New Life","Ten Commandments / Die zehn Gebote","Randy Edelman",2006
"72789","SOUJURR12A6D4FEDDC","Tobacco Road","Nashville Teens - The Best Of","The Nashville Teens",1964
"109619","SONUNDB12A8C13E0A9","I Aint Your Savior","In The Mouth Of The Young","Bullets And Octane",2006
"29257","SOLKXCX12A6310EE73","Tear Off Your Own Head (It's A Doll Revolution)","Doll Revolution","The Bangles",2003
"191453","SOVUXLZ12A8C13D7E7","Questa Storia","Oh! Era Ora","Adriano Pappalardo",0
"155044","SOUGVFG12A8C13D0CC","Cielo Rojo","15 Grandes Exitos-Flor Silvestre","Flor Silvestre",0
"42937","SOLCTAD12A8C1413A7","Everything Is Weird","Eleventeen","Daisy Chainsaw",1992
"14092","SOWUEGY12AB018B5C1","Drive Round Dem","Pulse Riddim","Ding Dong",0
"21742","SOXPOEF12A8C133BDA","Carnival Wig","Red Heaven","Throwing Muses",1992
"123110","SOKEMCW12AB0182C42","I Think I Love You","Love Story","Andy Williams",0
"72163","SOLCPJC12AB01841DE","Christo","Christ 0","Vanden Plas",2006
"16558","SOGJVQS12AB0183E32","Neon","Brilliant","Fanzine",0
"24636","SONHJHK12AB0189B59","The Sweeter The Juice","Detroit City Grooves Featuring ""Soul Suite","Dave Hamilton",0
"164862","SOJCXII12A8C135B20","An Exit","Beat Noir","Spahn Ranch",1998
"131283","SOOBXJT12AB0183EAC","Coconuts (Bonus)","A New Commotion_ A Different Tension","Viva L'American Death Ray Music",0
"145073","SOVHKVN12AC3DF5F95","Home Boy","Ionized","Ion",0
"13918","SOTKJFF12AB0188D70","Sleeping In The Ground","Happy Home","Mick Clarke_ Lou Martin",0
"83225","SOEGVMB12AB0181A88","Till the Break of Dawn","Lapsed","Lapsed",2005
"104599","SOPCIKH12A6D4FB7C3","Prechero (Bonus Track)","Adivina","Sergio Dalma",0
"181921","SOYFULQ12AB01866D2","Abstract Reality","Indulgence and Abstract Reality","Nasty Savage",1987
"107884","SOFBWOP12A8AE47B48","Victory In Jesus","Golden Gospel Favorites","Cumberland Quartet",0
"183287","SOMOWCE12A8C13F7EF","Soul Meeting","Soul Meeting","King Curtis",2007
"17868","SOJNPXY12AB018A048","What Ya Wanna Do? (Album Version)","The Iceburg / Freedom Of Speech...Just Watch What You Say","Ice T",0
"164298","SOKJPDC12AB017F572","Leaving It All Behind","Jean Michel EP","Jean Michel",0
"164145","SOOLBUH12AB0188CA0","Protein Vitamin","G For Gaute","Gaute Ormåsen",2006
"147259","SOEBULJ12A8C13939A","Allthegirls (Yuksek Rmx)","Allthegirls","Siriusmo",2008
"81021","SOBLZYT12A6D4FA1AE","Suite 909","Zebra","Yello",1994
"42960","SOKSTRH12A8C14329C","Laura (What's He Got That I Ain't Got)","Country Heartbreakers","Leon Ashley",0
"181500","SONWLFU12A8C13E5A8","Noite clara","Disco paralelo","Ludov",2007
"399","SOFERCD12AB0186E7F","Hump In Your Back","Jesse Fuller's Favorites","Jesse Fuller",0
"88625","SOLEIWE12A8C13DD26","We Break The Dawn","Unexpected","Michelle Williams",2008
"173063","SOLBIVJ12AB018A338","Something For Madeleine","The Power Of Suggestion","Karminsky Experience Inc.",2003
"196372","SOIVCAZ12A8C1355C6","Poison Like Sweat","Poison Like Sweat","Dedicated Frequency",2008
"6226","SOGGWZG12AB018B944","Bamboo Lullaby","Singing Bamboos","Martin Denny",1996
"20842","SONKSSN12AB0187D5D","Be Of Good Heart","Love U More: The Very Best Of","Sunscreem",1996
"71489","SOUKFHY12A8C13C53C","El Único Espectador","Basico 2","Revolver",0
"51573","SOHOKLS12AC468E4CF","The Ballot or the Bullet","Speeches That Shaped History","Malcolm X",0
"57328","SOVWARB12AB0183FF8","Song For Sasha","Tanti Saluti","Ex-Otago",2007
"28995","SOGZPWD12A58A77C00","You'd Think I Would Have Learned By Now","It's Only a Tune","Nanette Natal",0
"141565","SORFKUN12AB0186286","Fragment OF Insanity","Naked On The Black Floor","Event Horizon",0
"105317","SOFQRII12A6D4F704A","I'm Gonna Love You Anyway","Higher Ground","Buckwheat Zydeco",2005
"46149","SOCOQQW12AB01877D8","Time Dreams","Forever Blue Sky","Bruce BecVar",0
"56414","SOGXMFG12A58A77F4C","(I Got A) Stomach Ache","Frett'n The Blues","Junior Wells",1966
"187358","SOBEVMD12A8C1379C8","Soy Bueno","Caramelo","Candyman",0
"50552","SOPGTOR12AB0185815","Mack the Knife","Nos Stars célèbrent le jazz a Montréal","Garou",0
"160818","SOPCKTP12AB0183EE5","Freaky Sweetie","Nothing On TV","Cassette Kids",2010
"41264","SOEGDKM12A6D4F756F","The Pressure Will Blow","Renegade","Thin Lizzy",1981
"164603","SOAAKBR12A6D4F6B2D","Hard","Emotionally Involved","Disowned",0
"193456","SOIESIV12AB0184921","A part of it all","Island life","Ken Navarro",0
"159205","SOLFSCN12AB0180D6C","Amor amar","Canciones","Fantasía",0
"175466","SOFTPOA12AB0187766","Piper To The End","Get Lucky","Mark Knopfler",2009
"76376","SOQKRBW12AF72A55C9","I'm Content With Losing","They're Only Chasing Safety","Underoath",2004
"30462","SOKMRYI12A8C136D9D","The Giver","Legacy","Manuel Iman",0
"78985","SOXCPMK12A6D4F883C","Should've Never Let Him Go","Bernadette","Bernadette Peters",1980
"146036","SOEYNAY12AB01855B5","Funeral Class One","White Diary","Silver",0
"159156","SOGIHXM12A8C13FB96","Reasons To Leave (Heaven On Earth)","Out Of My Head& The Best Of Kieran Goss","Kieran Goss",0
"153452","SOIUELH12A6701F663","Bad Bitch (Amended Version)","Street Dreams","Fabolous",2003
"51000","SOGTZYB12A6D4F6D35","Family Tree (Demo)","Best!","Jellyfish",2006
"77445","SOINZAP12A8C143801","Take It Home","Walk This Way","The White Tie Affair",2008
"154690","SOUDVQL12AF72A0C6E","I Saw Red","Greatest & Latest","Warrant",0
"87571","SOCTTFY12AB018A806","The Last Song","Songs From The Boondocks","Nguru",0
"67430","SOZIWIX12AB0184A6D","Cân Cadwaladr","Galwad Y Mynydd","Galwad Y Mynydd",0
"62469","SOOIGAA12A8C13EDAB","Black Rat Swing","Stop & Listen","Suzy Thompson",0
"189008","SOWSHAZ12A6310F1DE","Austerity / Girl One (Medley) (2003 Digital Remaster)","Reproduction","The Human League",1979
"126743","SOYRLGR12AB0181669","Cancion II","Cristo Rock","Raul Porchetto",0
"28448","SOXDSHE12A8C145748","Forget me","Addicted to House Music","Massimo fr Gabba & Javier Garcia MUSIC4US",0
"7299","SOMWFXC12AB017D619","Angel Song","Ao Vivo no Coliseu dos Recreios","Silence 4",1998
"84379","SOVVMAS12A6D4F8791","Stravinsky : Le rossignol : Act 3 ""Ah_ j'aime à t'écouter"" [La Mort_ Le Rossignol_ L'Empereur]","Stravinsky : Le rossignol","Pierre Boulez",0
"115258","SOJWVLE12AC9072A13","One Small Step","Confusion Au Go Go","Love Battery",1998
"23250","SOZFGXS12A8C140814","Maybe We'll Die","Wild And Wandering","Wasted Youth",0
"76008","SOMGCAG12AB017C872","They'll Know We Are Christians By Our Love","Sieze The Day And Other Stories","Carolyn Arends",0
"32600","SOBJMKU12A8C13B6F1","HEART GOES BOOM","Annbelievable","Ann Bell Fell",0
"3465","SOQPQHL12AC4689B18","Apologize","OneRepublic Piano Tribute EP","Piano Tribute Players",0
"45628","SOAMBZV12A67AD8004","Skit #2 (Explicit)","That One Way","Czar*Nok",2005
"61520","SODJZHE12AB0182246","Miss American Hair Pie","The Stolen Singles","Arab On Radar",2003
"124069","SONBCFY12AB017E2A6","Chameleons","Nothing But The Truth","Ruben Blades",0
"79958","SOIKYPA12AF729C3B0","Ice Cube","Beyond The Infinite","Juno Reactor",1995
"144352","SOCBNCT12AC9097C1B","In einem Raum mit Dir","Golden","Marsen Jules",2007
"179461","SOXNQVU12A6D2281ED","Tears On My Pillow","Lou Christie The Hits","Lou Christie",0
"79530","SOIFBWU12AAF3B3B38","Boy Oh Boy","Please Don't Hate Me","Lay Low",2006
"85165","SOPVQHU12A8C1356B5","Hey You","Here We Come","a1",1999
"32016","SOISEUQ12A6D4F9595","Quiero Que Vuelvas","Soy El Mismo","Gary Hobbs",0
"31849","SOJLCCV12A8C144FF5","When Pain Comes To Surface","Skinned Alive","Skinlab",1997
"143788","SOJGEJD12A8AE46677","Insane torture","World end carnage","Jigsore Terror",0
"63869","SOESUEK12A67ADE5BC","Pesadilla O Realidad?","En Estos Dias Inciertos...","Celtas Cortos",0
"86000","SOESTIC12A67ADAD65","Little Bird","Come Here","Cass Fox",0
"121375","SOXMVBP12A8AE490A8","I Promise You (LP Version)","Days of Grace","Greg Long",0
"7544","SOFABVI12A8C13589A","Mezi kapkami deate (Amidst Rain)","}ivot v obrazech (A Life in Pictures)","Minuta Ticha",0
"47343","SOHVEZF12AB018635A","Mikan Faijan BMW","Singlet 2000 - 2010","Anssi Kela",2000
"184503","SOLBOWT12AB018A9D9","Divisive","Divisive EP","We Have Band",2010
"187509","SOTDXTY12A6701E008","Agua Serena","Miradas","Agustin Pereyra Lucena",0
"172884","SOLKIBT12AB0186BF1","Crows And Nightflowers","Kerosene Dreams","Daniel Norgren",0
"6214","SONRZPT12A8C137AF0","Afternoon In Paris","Private Concert","John Lewis",0
"164105","SOQCGXA12A6D4F7767","Party Weirdo","Do You Like My Tight Sweater?","Moloko",1995
"191312","SORBAPV12A6D4FAAAC","The Big Country (Alternate Version)","More Songs About Buildings And Food [w/Bonus Tracks & Interactive Booklet]","Talking Heads",2005
"65256","SOMUKHG12AB01872FD","Black Harmony Killer","The Bunny Striker Lee Story","Jah Stitch",1994
"107251","SOSVFAW12A8C134E32","Way Over My Head","Kicks","Flamin' Groovies",1991
"168983","SOCGHEB12AAF3B3BBE","Little Darlin'","Baby Rasta Band","Baby Rasta Band",0
"193387","SOLTXOB12A58A7CAD3","Ardent","Sun Day EP","Night Rise Sounds",0
"50353","SOVIFOR12AB0182303","Open My Heart","The Seventh Lake","Robert Hazard",0
"178165","SOGLOII12AB018CB32","Movimento preciso e meccanico"" from Chamber Concerto","a/rhythmia","Alarm Will Sound",0
"123347","SOLXFUZ12A8C13302C","Ballada Nie Lada","Miasto Mania","Maria Peszek",2005
"167313","SOVZXLZ12AB0182EFB","Quem É","Explosão De Desejos","Leandro and Leonardo",0
"96419","SOZFUZB12AB018A29B","Vale da Lua","Taxidoscopio","Kristi Stassinopoulou",0
"80793","SOOQPIK12A6701F1C5","Fortunate Fool","Brushfire Fairytales","Jack Johnson",2000
"23722","SOZGETS12A8C13BA2B","Tek Dat","Push And Shove","Hepcat",2000
"132110","SOPVQMC12A8C13A4EA","I will make up for a lifetime of fucking chicks poorly by having the most diverse CD collection in ","This is Stunt Rock Vol. 3","Stunt Rock",0
"77397","SOIYKHF12AB0182CBB","Remote","Remote","Anhken",0
"4041","SOCZLUD12A58A7AAAC","Little Things_ Permanent Things_ Boring Things","A Summer She Has Never Been_ A Winter She Fears","Theodore",0
"127292","SORTBLI12A8C13E4C0","Woman On My Weary Mind","Radio Days","Bob Crosby",0
"69649","SOHMMIR12A6D4FC43A","L'été l'été","Comme à la radio","Brigitte Fontaine",1969
"115948","SOBEDCX12AAA15DEA6","Fingers Of Sun","Inner North","The Guild League",2004
"172589","SOIGDUU12AB01853C9","Der Anarchist","Greifenherz","Orplid",2008
"187586","SOVUUZG12AC3DF9331","Hydra","Cheat the Gallows","BigElf",2008
"71124","SONDKKP12AB0188B12","Pink Dracula","Blood Cape","Elliott The Letter Ostrich",2005
"113007","SOVTRRH12AB017D3CA","What Kind Of Fool Am I?","2006 International Barbershop Quartet Contest - First Round - Volume 2","Sterling",0
"154942","SOYJDCC12AB01899E8","Connections","Crisis Tales","Curse Ov Dialect",2009
